Subject,ROI,RSA_Score,P_Value
sub01,EBA,0.10905007508455358,0.0
sub01,FFA,0.04769082537998836,0.0
sub01,LOC,0.1378603554062607,0.0
sub01,PPA,0.058541936189190596,0.0
sub01,STS,0.05108384545818611,0.0
sub01,V1,0.020497420198849592,0.0
sub01,V2,0.025870060540941035,0.0
sub01,V3,0.03466044198728695,0.0
sub01,V4,0.029765420300771533,0.0
sub02,EBA,0.09129961877516438,0.0
sub02,FFA,0.0603138138399297,0.0
sub02,LOC,0.08560403898371093,0.0
sub02,PPA,0.03399157313767309,0.0
sub02,STS,0.026658233587526864,0.0
sub02,V1,0.03333191073488911,0.0
sub02,V2,0.02772596728397813,0.0
sub02,V3,0.040687285532905064,0.0
sub02,V4,0.044688942131674105,0.0
sub03,EBA,0.11647707536478469,0.0
sub03,FFA,0.053729517003564375,0.0
sub03,LOC,0.09781093249134584,0.0
sub03,PPA,0.05091711805614678,0.0
sub03,STS,0.05227771179214752,0.0
sub03,V1,0.016907628004279744,0.0
sub03,V2,0.026250301263254124,0.0
sub03,V3,0.03267228839162266,0.0
sub03,V4,0.028938782708137916,0.0
sub04,EBA,0.12569160389987427,0.0
sub04,FFA,0.08114339183780526,0.0
sub04,LOC,0.12066225730129973,0.0
sub04,PPA,0.04781539147456339,0.0
sub04,STS,0.0649165405836015,0.0
sub04,V1,0.03614907684989213,0.0
sub04,V2,0.02948788788965536,0.0
sub04,V3,0.034047769569037115,0.0
sub04,V4,0.025948556932950766,0.0
sub05,EBA,0.10068555273402698,0.0
sub05,FFA,0.04857283681750929,0.0
sub05,LOC,0.10161837331608187,0.0
sub05,PPA,0.0488417075327546,0.0
sub05,STS,0.059456359115150244,0.0
sub05,V1,0.0325805987752916,0.0
sub05,V2,0.02355007932634368,0.0
sub05,V3,0.028641529130910896,0.0
sub05,V4,0.03374117195159529,0.0
sub06,EBA,0.10802788862729895,0.0
sub06,FFA,0.07077374438413897,0.0
sub06,LOC,0.12743698990707714,0.0
sub06,PPA,0.04463216098986898,0.0
sub06,STS,0.029449290969886355,0.0
sub06,V1,0.034515765075158834,0.0
sub06,V2,0.03114757185537488,0.0
sub06,V3,0.030032920077408425,0.0
sub06,V4,0.023708992636459023,0.0
sub07,EBA,0.052833466659036744,0.0
sub07,FFA,0.039223916078208514,0.0
sub07,LOC,0.06031360325925693,0.0
sub07,PPA,0.015201061576640425,0.0
sub07,STS,0.02395610370980508,0.0
sub07,V1,0.01823524497530479,0.0
sub07,V2,0.020816206237182135,0.0
sub07,V3,0.02424512844816363,0.0
sub07,V4,0.027484317606466243,0.0
sub08,EBA,0.0761057879822203,0.0
sub08,FFA,0.09680038094305937,0.0
sub08,LOC,0.12043928790007977,0.0
sub08,PPA,0.045359059954747226,0.0
sub08,STS,0.07158319880251605,0.0
sub08,V1,0.02660467412626889,0.0
sub08,V2,0.026233287100755377,0.0
sub08,V3,0.03319963415939836,0.0
sub08,V4,0.03356698698443881,0.0
sub09,EBA,0.09376660579548028,0.0
sub09,FFA,0.07127219464632828,0.0
sub09,LOC,0.11231215573615601,0.0
sub09,PPA,0.052473243888549334,0.0
sub09,STS,0.048154702050445634,0.0
sub09,V1,0.032720868469963325,0.0
sub09,V2,0.03254464375807803,0.0
sub09,V3,0.030822092648359174,0.0
sub09,V4,0.04822343330647535,0.0
sub10,EBA,0.09310829752337947,0.0
sub10,FFA,0.046682595555734584,0.0
sub10,LOC,0.10961110506234589,0.0
sub10,PPA,0.04713916455539244,0.0
sub10,STS,0.04698282842246048,0.0
sub10,V1,0.035759771584313,0.0
sub10,V2,0.03211293761511607,0.0
sub10,V3,0.03192010895431485,0.0
sub10,V4,0.024628251664036673,0.0
