Subject,ROI,RSA_Score
sub01,EBA,0.06993835647713721
sub01,FFA,0.03303893998803786
sub01,LOC,0.09513435199157244
sub01,PPA,0.04393786713051991
sub01,STS,0.037776458540745565
sub01,V1,0.03407624351882014
sub01,V2,0.04444332936786109
sub01,V3,0.05056143696569227
sub01,V4,0.0336500311398368
sub02,EBA,0.06749099532375712
sub02,FFA,0.04005819981205102
sub02,LOC,0.0642657084942865
sub02,PPA,0.033686804019258706
sub02,STS,0.018961384451700602
sub02,V1,0.06329043515528403
sub02,V2,0.05144307798263143
sub02,V3,0.051786140569998605
sub02,V4,0.04804703960306307
sub03,EBA,0.07953393759321072
sub03,FFA,0.04108813571537297
sub03,LOC,0.07133965379289267
sub03,PPA,0.03762382976140784
sub03,STS,0.035983768156134244
sub03,V1,0.0318936254351559
sub03,V2,0.04774763146017697
sub03,V3,0.04624349385132192
sub03,V4,0.04021613078162803
sub04,EBA,0.08415984859334374
sub04,FFA,0.053193646267882984
sub04,LOC,0.08720522720585909
sub04,PPA,0.03779843110456415
sub04,STS,0.042080873269322
sub04,V1,0.06887967446846416
sub04,V2,0.06442455099854046
sub04,V3,0.06556867542038705
sub04,V4,0.039152432620515876
sub05,EBA,0.0649571990082079
sub05,FFA,0.03935717723131776
sub05,LOC,0.0679155809741035
sub05,PPA,0.037937648662895986
sub05,STS,0.039314033909730206
sub05,V1,0.052413737071258716
sub05,V2,0.03617785897533147
sub05,V3,0.03876766143513344
sub05,V4,0.03669970747024884
sub06,EBA,0.06996914823145205
sub06,FFA,0.042415237590508775
sub06,LOC,0.08595217207787516
sub06,PPA,0.03228041810231394
sub06,STS,0.019605611738857838
sub06,V1,0.06833408620279735
sub06,V2,0.07123621693583969
sub06,V3,0.05799337980683382
sub06,V4,0.03430139122171181
sub07,EBA,0.03881814380769037
sub07,FFA,0.027766512598794243
sub07,LOC,0.03939852590519751
sub07,PPA,0.009348049531625938
sub07,STS,0.01773744295283075
sub07,V1,0.023677315056790205
sub07,V2,0.027218816286191612
sub07,V3,0.027408189898497894
sub07,V4,0.020738873841949255
sub08,EBA,0.05256383662000937
sub08,FFA,0.06382082196647813
sub08,LOC,0.07779841444546376
sub08,PPA,0.035801086999622596
sub08,STS,0.046409574173510854
sub08,V1,0.048222274152754395
sub08,V2,0.03784240715777689
sub08,V3,0.039075596943232524
sub08,V4,0.030247909073415208
sub09,EBA,0.06311588032662595
sub09,FFA,0.05258537872978677
sub09,LOC,0.08014975046047809
sub09,PPA,0.0406178262724742
sub09,STS,0.03216952703960929
sub09,V1,0.04548706509049771
sub09,V2,0.04999949828472716
sub09,V3,0.050634386468799426
sub09,V4,0.05669008511431547
sub10,EBA,0.06256666696518631
sub10,FFA,0.031544438558536614
sub10,LOC,0.07606502695646856
sub10,PPA,0.0320115975365447
sub10,STS,0.03392253817611103
sub10,V1,0.05715297226848284
sub10,V2,0.06279442176421206
sub10,V3,0.044841330651485024
sub10,V4,0.026016989216930634
